,Average Humidity,Cooling Degree Days,Date,Dew Point,Events,Growing Degree Days,Heating Degree Days,Max Gust Speed,Max Temperature,Max Wind Speed,Maximum Humidity,Mean Temperature,Min Temperature,Minimum Humidity,Month to date cooling degree days,Month to date heating degree days,Month to date precipitation,Month to date snowfall,Precipitation,Sea Level Pressure,Since 1 July heating degree days,Since 1 July snowfall,Since 1 June cooling degree days,Since 1 June heating degree days,Snow,Snow Depth,Visibility,Wind Speed,Year to date cooling degree days,Year to date precipitation
0,41,0,2017/01/01,-6,,,22,37,8,19,50,7,5,31,,,,,0.00,1022,,,,,0.00,-,16,8,,
1,83,0,2017/01/02,1,Rain,,27,37,4,24,96,3,3,51,,,,,5.08,1030,,,,,0.00,-,11,14,,
2,98,0,2017/01/03,4,Rain,,24,48,6,27,100,5,4,96,,,,,14.99,1009,,,,,0.00,-,6,19,,
3,74,0,2017/01/04,1,,,22,50,11,27,100,7,1,30,,,,,0.00,1000,,,,,0.00,-,14,10,,
4,42,0,2017/01/05,-12,,,35,39,1,21,52,-1,-3,38,,,,,0.00,1013,,,,,0.00,-,16,13,,
5,66,0,2017/01/06,-8,"Fog
	,
Snow",,36,26,1,16,92,-2,-4,39,0,163,0.84,1.2,1.27,1017,1669,4.4,,,3.05,2.54,10,8,0,0.84
6,67,0,2017/01/07,-10,"Fog
	,
Snow",,42,40,-3,27,91,-5,-7,42,0,205,1.16,6.3,8.13,1023,1711,9.5,,,12.95,T,5,12,0,1.16
7,52,0,2017/01/08,-16,,,44,48,-4,29,68,-6,-9,35,0,249,1.16,6.3,0.00,1027,1755,9.5,,,0.00,10.16,15,14,0,1.16
8,52,0,2017/01/09,-16,,,46,35,-5,21,59,-7,-10,45,0,295,1.16,6.3,0.00,1039,1801,9.5,,,0.00,7.62,16,8,0,1.16
9,63,0,2017/01/10,-6,,,31,39,8,23,82,1,-6,43,0,326,1.16,6.3,0.00,1032,1832,9.5,,,0.00,7.62,16,7,0,1.16
10,74,0,2017/01/11,4,Rain,,18,53,11,26,93,8,6,54,0,344,1.68,6.3,13.21,1024,1850,9.5,,,0.00,0.00,12,9,0,1.68
11,78,0,2017/01/12,10,Rain,6 (Base 50),8,39,19,26,93,14,8,63,0,352,1.73,6.3,1.27,1018,1858,9.5,,,0.00,0.00,16,12,0,1.73
12,55,0,2017/01/13,-2,,,18,45,17,27,80,8,0,30,0,370,1.73,6.3,0.00,1030,1876,9.5,,,0.00,0.00,16,12,0,1.73
13,69,0,2017/01/14,-5,"Fog
	,
Snow",,34,19,1,14,92,-1,-2,45,0,404,1.85,6.9,3.05,1033,1910,10.1,,,1.52,0.00,9,7,0,1.85
14,67,0,2017/01/15,-6,,,31,24,3,16,85,1,-1,48,0,435,1.85,6.9,0.00,1027,1941,10.1,,,0.00,2.54,16,7,0,1.85
15,53,0,2017/01/16,-6,,,28,31,6,21,63,3,-1,43,0,463,1.85,6.9,0.00,1029,1969,10.1,,,0.00,T,16,7,0,1.85
16,77,0,2017/01/17,2,Rain,,25,32,6,24,100,4,3,54,0,488,2.20,6.9,8.89,1020,1994,10.1,,,0.00,0.00,6,8,0,2.20
17,90,0,2017/01/18,3,Rain,,25,31,5,23,100,4,3,79,0,513,2.26,6.9,1.52,1014,2019,10.1,,,0.00,0.00,12,9,0,2.26
18,71,0,2017/01/19,1,,,21,31,9,19,85,7,4,56,0,534,2.26,6.9,0.00,1016,2040,10.1,,,0.00,0.00,16,6,0,2.26
19,79,0,2017/01/20,2,Rain,,22,23,7,16,93,6,4,65,0,556,2.36,6.9,2.54,1014,2062,10.1,,,0.00,0.00,13,6,0,2.36
20,90,0,2017/01/21,6,,,20,29,9,19,100,7,5,80,0,576,2.36,6.9,0.00,1011,2082,10.1,,,0.00,0.00,7,6,0,2.36
21,91,0,2017/01/22,6,"Fog
	,
Rain",,19,53,9,34,100,8,6,82,0,595,2.41,6.9,1.27,1007,2101,10.1,,,0.00,0.00,7,11,0,2.41
22,85,0,2017/01/23,2,Rain,,25,76,7,53,100,4,2,70,0,620,3.57,6.9,29.46,1006,2126,10.1,,,0.00,0.00,12,29,0,3.57
23,93,0,2017/01/24,2,Rain,,28,58,3,39,100,3,2,85,0,648,4.75,6.9,29.97,995,2154,10.1,,,T,0.00,8,16,0,4.75
24,63,0,2017/01/25,-1,,,21,42,11,29,76,7,2,50,0,669,4.75,6.9,0.00,1002,2175,10.1,,,0.00,0.00,16,11,0,4.75
25,61,0,2017/01/26,1,Rain,,15,61,13,34,80,10,6,42,0,684,4.77,6.9,0.51,997,2190,10.1,,,0.00,0.00,16,11,0,4.77
26,47,0,2017/01/27,-4,,,25,53,6,29,55,4,2,39,0,709,4.77,6.9,0.00,1003,2215,10.1,,,0.00,0.00,16,14,0,4.77
27,52,0,2017/01/28,-7,,,28,43,4,26,59,3,1,44,0,737,4.77,6.9,0.00,1005,2243,10.1,,,0.00,0.00,16,13,0,4.77
28,43,0,2017/01/29,-8,,,26,39,6,24,59,4,2,27,0,763,4.77,6.9,0.00,1006,2269,10.1,,,0.00,0.00,16,9,0,4.77
29,46,0,2017/01/30,-11,,,31,35,3,24,59,1,-1,32,0,794,4.77,6.9,0.00,1009,2300,10.1,,,0.00,0.00,16,10,0,4.77
30,64,0,2017/01/31,-6,"Fog
	,
Snow",,35,24,1,19,92,-1,-3,36,0,829,4.83,7.9,1.52,1011,2335,11.1,,,2.54,0.00,9,6,0,4.83
31,60,0,2017/02/01,-3,,,25,42,8,26,82,4,1,38,0,25,0.00,0.0,0.00,1013,2360,11.1,,,0.00,0.00,16,9,0,4.83
32,46,0,2017/02/02,-7,,,26,45,7,26,64,4,0,28,0,51,0.00,0.0,0.00,1019,2386,11.1,,,0.00,0.00,16,9,0,4.83
33,39,0,2017/02/03,-13,,,35,47,1,27,46,-1,-3,31,0,86,0.00,0.0,0.00,1022,2421,11.1,,,0.00,0.00,16,11,0,4.83
34,38,0,2017/02/04,-15,,,37,42,1,26,47,-2,-6,28,0,123,0.00,0.0,0.00,1026,2458,11.1,,,0.00,0.00,16,14,0,4.83
35,44,0,2017/02/05,-8,,,28,45,6,26,52,3,-1,36,0,151,0.00,0.0,0.00,1015,2486,11.1,,,0.00,0.00,16,12,0,4.83
36,51,0,2017/02/06,-4,,,22,32,9,21,70,6,2,31,0,173,0.00,0.0,0.00,1017,2508,11.1,,,0.00,0.00,16,8,0,4.83
37,85,0,2017/02/07,2,"Fog
	,
Rain",,26,32,6,24,100,4,2,70,0,199,0.27,0.0,6.86,1011,2534,11.1,,,0.00,0.00,5,11,0,5.10
38,73,0,2017/02/08,3,Rain,,15,27,17,21,100,10,3,46,0,214,0.30,0.0,0.76,1003,2549,11.1,,,0.00,0.00,9,7,0,5.13
39,71,0,2017/02/09,-6,"Fog
	,
Snow",,33,58,7,37,100,0,-7,41,0,247,1.46,9.4,29.46,1004,2582,20.5,,,23.88,5.08,6,20,0,6.29
40,46,0,2017/02/10,-12,Snow,,39,50,0,26,56,-3,-7,36,0,286,1.46,9.4,T,1022,2621,20.5,,,T,20.32,15,14,0,6.29
41,54,0,2017/02/11,-4,,,26,32,9,21,69,4,-1,38,0,312,1.46,9.4,0.00,1015,2647,20.5,,,0.00,12.70,16,7,0,6.29
42,82,0,2017/02/12,-1,"Rain
	,
Snow",,30,37,4,27,100,2,-1,64,0,342,1.92,9.4,11.68,1011,2677,20.5,,,T,5.08,8,12,0,6.75
43,70,0,2017/02/13,-5,Rain,,30,77,4,45,92,2,-1,47,0,372,1.94,9.4,0.51,1008,2707,20.5,,,0.00,5.08,16,20,0,6.77
44,56,0,2017/02/14,-6,,,30,32,5,21,64,2,-2,48,0,402,1.94,9.4,0.00,1011,2737,20.5,,,0.00,5.08,16,9,0,6.77
45,68,0,2017/02/15,-1,,,24,47,8,29,82,5,2,53,0,426,1.94,9.4,T,998,2761,20.5,,,0.00,0.00,15,10,0,6.77
46,54,0,2017/02/16,-9,,,33,47,2,27,64,0,-2,43,0,459,1.94,9.4,0.00,1003,2794,20.5,,,0.00,0.00,16,17,0,6.77
47,41,0,2017/02/17,-9,,,31,45,5,26,63,1,-3,19,0,490,1.94,9.4,0.00,1011,2825,20.5,,,0.00,T,16,14,0,6.77
48,39,0,2017/02/18,-4,,,16,45,17,26,48,9,2,30,0,506,1.94,9.4,0.00,1008,2841,20.5,,,0.00,0.00,16,9,0,6.77
49,35,0,2017/02/19,0,,10 (Base 50),6,35,18,23,43,15,12,26,0,512,1.94,9.4,0.00,1009,2847,20.5,,,0.00,0.00,16,9,0,6.77
