Month,Number
2012/07,4151
2012/08,4111
2012/09,3979
2012/10,3948
2012/11,3451
2012/12,3934
2013/01,3452
2013/02,3053
2013/03,3596
2013/04,3892
2013/05,4361
2013/06,4343
2013/07,4296
2013/08,4122
2013/09,4227
2013/10,4076
2013/11,3901
2013/12,3627
2014/01,3311
2014/02,2606
2014/03,3245
2014/04,3432
2014/05,3871
2014/06,4217
2014/07,3891
2014/08,3788
2014/09,3731
2014/10,4039
2014/11,3647
2014/12,3546
2015/01,2977
2015/02,2284
2015/03,3182
2015/04,3323
2015/05,4063
2015/06,3988
2015/07,3982
2015/08,3992
2015/09,3843
2015/10,4085
2015/11,3697
2015/12,3859
2016/01,3136
2016/02,2955
2016/03,3866
2016/04,4070
2016/05,4060
2016/06,3474
2016/07,3273
2016/08,909
2016/09,1050
2016/10,3095
2016/11,3370
2016/12,3298
2017/01,3576
2017/02,3683
2017/03,3602
