Month,Number
2012/07,22
2012/08,22
2012/09,23
2012/10,17
2012/11,13
2012/12,25
2013/01,29
2013/02,18
2013/03,17
2013/04,12
2013/05,15
2013/06,17
2013/07,22
2013/08,32
2013/09,19
2013/10,18
2013/11,28
2013/12,16
2014/01,21
2014/02,11
2014/03,14
2014/04,20
2014/05,21
2014/06,17
2014/07,25
2014/08,18
2014/09,24
2014/10,14
2014/11,19
2014/12,11
2015/01,14
2015/02,13
2015/03,12
2015/04,16
2015/05,25
2015/06,18
2015/07,14
2015/08,19
2015/09,10
2015/10,19
2015/11,23
2015/12,18
2016/01,15
2016/02,17
2016/03,9
2016/04,8
2016/05,13
2016/06,16
2016/07,7
2016/08,5
2016/09,4
2016/10,11
2016/11,5
2016/12,18
2017/01,10
2017/02,11
2017/03,13
