Month Injured Killed
2012/07 4151 22
2012/08 4111 22
2012/09 3979 23
2012/10 3948 17
2012/11 3451 13
2012/12 3934 25
2013/01 3452 29
2013/02 3053 18
2013/03 3596 17
2013/04 3892 12
2013/05 4361 15
2013/06 4343 17
2013/07 4296 22
2013/08 4122 32
2013/09 4227 19
2013/10 4076 18
2013/11 3901 28
2013/12 3627 16
2014/01 3311 21
2014/02 2606 11
2014/03 3245 14
2014/04 3432 20
2014/05 3871 21
2014/06 4217 17
2014/07 3891 25
2014/08 3788 18
2014/09 3731 24
2014/10 4039 14
2014/11 3647 19
2014/12 3546 11
2015/01 2977 14
2015/02 2284 13
2015/03 3182 12
2015/04 3323 16
2015/05 4063 25
2015/06 3988 18
2015/07 3982 14
2015/08 3992 19
2015/09 3843 10
2015/10 4085 19
2015/11 3697 23
2015/12 3859 18
2016/01 3136 15
2016/02 2955 17
2016/03 3866 9
2016/04 4070 8
2016/05 4060 13
2016/06 3474 16
2016/07 3273 7
2016/08 909 5
2016/09 1050 4
2016/10 3095 11
2016/11 3370 5
2016/12 3298 18
2017/01 3576 10
2017/02 3683 11
2017/03 3602 13
